Selection,"問１ どっちが好き？","邦楽","洋楽","ロック"
Selection,"問２ どっちが好き？","明るめ","静かめ","普通"
Selection,"問３ YOUTUBEは好き？","好き","嫌い"
Selection,"問４ VTUBERも好き？","好きさ","嫌いさ","そうでも"
Result_URL,0,"0番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,1,"1番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,2,"2番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,3,"3番目の結果","YOUTUBE Ed Sheeran 「Perfect」","https://www.youtube.com/watch?v=2Vv-BfVoq4g"
Result_URL,4,"4番目の結果","YOUTUBE BABYMETAL 「メギツネ」","https://www.youtube.com/watch?v=zXmQHajCs4U"
Result_URL,5,"5番目の結果","YOUTUBE スピッツ 「楓」","https://www.youtube.com/watch?v=YapsFDcGe_s"
Result_URL,6,"6番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,7,"7番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,8,"8番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,9,"9番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,10,"10番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,11,"11番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,12,"12番目の結果","YOUTUBE Ed Sheeran 「Perfect」","https://www.youtube.com/watch?v=2Vv-BfVoq4g"
Result_URL,13,"13番目の結果","YOUTUBE BABYMETAL 「メギツネ」","https://www.youtube.com/watch?v=zXmQHajCs4U"
Result_URL,14,"14番目の結果","YOUTUBE スピッツ 「楓」","https://www.youtube.com/watch?v=YapsFDcGe_s"
Result_URL,15,"15番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,16,"16番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,17,"17番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,18,"18番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,19,"19番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,20,"20番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,21,"21番目の結果","YOUTUBE Ed Sheeran 「Perfect」","https://www.youtube.com/watch?v=2Vv-BfVoq4g"
Result_URL,22,"22番目の結果","YOUTUBE BABYMETAL 「メギツネ」","https://www.youtube.com/watch?v=zXmQHajCs4U"
Result_URL,23,"23番目の結果","YOUTUBE スピッツ 「楓」","https://www.youtube.com/watch?v=YapsFDcGe_s"
Result_URL,24,"24番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,25,"25番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,26,"26番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,27,"27番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,28,"28番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,29,"29番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,30,"30番目の結果","YOUTUBE Ed Sheeran 「Perfect」","https://www.youtube.com/watch?v=2Vv-BfVoq4g"
Result_URL,31,"31番目の結果","YOUTUBE BABYMETAL 「メギツネ」","https://www.youtube.com/watch?v=zXmQHajCs4U"
Result_URL,32,"32番目の結果","YOUTUBE スピッツ 「楓」","https://www.youtube.com/watch?v=YapsFDcGe_s"
Result_URL,33,"33番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,34,"34番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,35,"35番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,36,"36番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,37,"37番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,38,"38番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,39,"39番目の結果","YOUTUBE Ed Sheeran 「Perfect」","https://www.youtube.com/watch?v=2Vv-BfVoq4g"
Result_URL,40,"40番目の結果","YOUTUBE BABYMETAL 「メギツネ」","https://www.youtube.com/watch?v=zXmQHajCs4U"
Result_URL,41,"41番目の結果","YOUTUBE スピッツ 「楓」","https://www.youtube.com/watch?v=YapsFDcGe_s"
Result_URL,42,"42番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,43,"43番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,44,"44番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,45,"45番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,46,"46番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,47,"47番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"
Result_URL,48,"48番目の結果","YOUTUBE Ed Sheeran 「Perfect」","https://www.youtube.com/watch?v=2Vv-BfVoq4g"
Result_URL,49,"49番目の結果","YOUTUBE BABYMETAL 「メギツネ」","https://www.youtube.com/watch?v=zXmQHajCs4U"
Result_URL,50,"50番目の結果","YOUTUBE スピッツ 「楓」","https://www.youtube.com/watch?v=YapsFDcGe_s"
Result_URL,51,"51番目の結果","YOUTUBE Gre4N BOYZ 「勿忘草」","https://www.youtube.com/watch?v=cXXKl0wGQr4"
Result_URL,52,"52番目の結果","YOUTUBE Back Number 「水平線」","https://www.youtube.com/watch?v=iqEr3P78fz8&list=RDiqEr3P78fz8&start_radio=1"
Result_URL,53,"53番目の結果","YOUTUBE One Direction 「What makes you beautiful」","https://www.youtube.com/watch?v=QJO3ROT-A4E&list=RDQJO3ROT-A4E&start_radio=1"